lons	lats	NWM Station	AHPS ID	glats	glons
-77.094475	38.643009	22340853	CRPV2	38.804444	-77.106111
-77.070808	38.844143	22338859	AFRV2	38.843333	-77.085833
-77.045265	38.840675	22340565	ALEV2	38.840278	-77.053333
-76.973724	38.958649	22337977	ACOM2	38.952222	-76.966111
-77.074806	38.798626	22340591	HPKV2	38.797778	-77.070556
-76.925377	38.960857	22337975	RVDM2	38.960278	-76.926111
-76.944214	38.942616	22338089	BLDM2	38.938056	-76.940278
-76.955284	38.909351	22338123	ANAD2	38.914444	-76.950278
-77.133705	38.954319	4512772	BRKM2	38.949722	-77.127778
-77.05867	38.898449	22341029	GTND2	38.902222	-77.063056
